Probeset ID,N34 David Gene Symbol,UniGene ID,Ensembl,Entrez Gene,Alignments,Chromosomal Location,Gene Title,II1374 4way Venn 1.125 Fold Filter n_total= 1374,II359 RF ONEvs Other3 on 12589n Cxsect Gini n=359
1555730_a_at,CFL1,Hs.121449 /// Hs.170622 /// Hs.738283,ENSG00000172757 /// OTTHUMG00000166602,1072,chr11:65622806-65623714 (-) // 99.2 // q13.1,chr11q13,cofilin 1 (non-muscle),1,0
1555733_s_at,AP1S3,Hs.632555,ENSG00000152056 /// OTTHUMG00000133165,130340,chr2:224629893-224702201 (-) // 99.0 // q36.1,chr2q36.1,"adaptor-related protein complex 1, sigma 3 subunit",1,0
1555812_a_at,ARHGDIB,Hs.504877 /// Hs.595298,ENSG00000111348 /// OTTHUMG00000168742,397,chr12:15095302-15103658 (-) // 97.15 // p12.3,chr12p12.3,Rho GDP dissociation inhibitor (GDI) beta,1,1
1555977_at,MYL12A,Hs.190086,---,10627,chr18:3247609-3249923 (+) // 86.96 // p11.31,chr18p11.31,"myosin, light chain 12A, regulatory, non-sarcomeric",1,1
1556202_at,SRGAP2,Hs.497575,---,23380,chr1:206567025-206569191 (+) // 59.91 // q32.1 /// chr1:121116810-121118972 (+) // 58.07 // p11.2,chr1q32.1,SLIT-ROBO Rho GTPase activating protein 2,1,0
1556226_at,PDS5A,Hs.656092,---,---,---,---,---,1,1
1556318_s_at,CAND1,Hs.546407 /// Hs.603256 /// Hs.623675 /// Hs.633838 /// Hs.703396,ENSG00000111530 /// OTTHUMG00000169060,55832,chr12:67686941-67687534 (+) // 49.68 // q14.3,chr12q14,cullin-associated and neddylation-dissociated 1,1,0
1556336_at,RBMX /// SNORD61,Hs.380118 /// Hs.628400 /// Hs.676488 /// Hs.710162 /// Hs.711556,ENSG00000147274 /// OTTHUMG00000022517,26787 /// 27316,chrX:135955242-135955662 (-) // 78.5 // q26.3,chrXq26.3,"RNA binding motif protein, X-linked /// small nucleolar RNA, C/D box 61",1,0
1556423_at,VASH1,Hs.525479,---,22846,chr14:77227703-77230350 (+) // 89.65 // q24.3,chr14q24.3,vasohibin 1,1,1
1556461_at,Klf12,Hs.436728,---,---,chr13:74700596-74702042 (-) // 61.27 // q22.1,---,---,1,0
1556462_a_at,Klf12,Hs.436728,---,---,chr13:74700596-74702042 (-) // 61.27 // q22.1,---,---,1,1
1556471_at,SCML4,Hs.486109 /// Hs.629466,ENSG00000146285 /// OTTHUMG00000015313,256380,chr6:108025307-108145521 (-) // 99.58 // q21,chr6q21,sex comb on midleg-like 4 (Drosophila),1,0
1556621_a_at,CHFR,Hs.658589,---,---,chr12:133441390-133441989 (-) // 79.79 // q24.33,---,---,1,0
1556657_at,Mbnl1,Hs.658801,---,---,chr3:152053707-152055414 (+) // 63.93 // q25.1,---,---,1,1
1556658_a_at,Mbnl1,Hs.658801,---,---,chr3:152053707-152055414 (+) // 63.93 // q25.1,---,---,1,0
1556750_at,LOC153577,Hs.438905 /// Hs.608113,ENSG00000260841 /// OTTHUMG00000173461,153577,chr5:180211777-180214630 (-) // 74.5 // q35.3,chr5q35.3,uncharacterized LOC153577,1,0
1556812_a_at,ANKRD44,Hs.659084,---,---,chr2:197961283-197961876 (-) // 91.04 // q33.1,---,---,1,1
1556828_at,---,Hs.656654,---,---,chr14:61243935-61245358 (+) // 31.62 // q23.1,---,---,1,0
1556849_at,Rnf38,Hs.656005,---,---,chr9:36359746-36361671 (-) // 29.79 // p13.2,---,---,1,0
1556931_at,CDC42-IT1 /// CDC42-IT1,Hs.684696,ENSG00000230068 /// OTTHUMG00000002890,---,chr1:22385689-22390682 (+) // 61.03 // p36.12,---,CDC42 intronic transcript 1 (non-protein coding) /// NULL,1,0
1557065_at,YLPM1,Hs.531111,---,56252,chr14:75292384-75295553 (+) // 99.97 // q24.3,chr14q24.3,YLP motif containing 1,1,0
1557077_a_at,LOC100507580,Hs.667879,---,100507580,chr22:25873153-25875937 (+) // 31.57 // q11.23,---,uncharacterized LOC100507580,1,0
1557113_at,LOC283588,Hs.46519,---,283588,chr14:91314205-91316995 (-) // 90.54 // q32.11,chr14q32.11,uncharacterized LOC283588,1,1
1557145_at,STK38,Hs.409578,---,11329,chr6:36463840-36467434 (-) // 80.24 // p21.31,chr6p21,serine/threonine kinase 38,1,0
1557197_a_at,LGALS3,Hs.531081 /// Hs.619784 /// Hs.734248,ENSG00000131981,3958,chr14:55599683-55601873 (+) // 52.07 // q22.3,chr14q22.3,"lectin, galactoside-binding, soluble, 3",1,0
1557227_s_at,TPR,Hs.279640,ENSG00000047410 /// OTTHUMG00000035580,7175,chr1:186331985-186344825 (-) // 98.88 // q31.1,chr1q25,"translocated promoter region, nuclear basket protein",1,1
1557236_at,APOL6,Hs.257352,---,80830,chr22:36059187-36060053 (+) // 5.03 // q12.3,chr22q12.3,"apolipoprotein L, 6",1,0
1557238_s_at,Setd5,Hs.676327,---,---,chr3:9500512-9501398 (+) // 39.87 // p25.3,---,---,1,0
1557267_s_at,GEN1,Hs.467793,---,348654,chr2:17935161-17937773 (+) // 78.31 // p24.2,chr2p24.2,GEN1 Holliday junction 5' flap endonuclease,1,0
1557270_at,---,Hs.658583,---,---,chr19:12004770-12007032 (+) // 53.44 // p13.2,---,---,1,0
1557278_s_at,TNPO1,Hs.482497,---,3842,chr5:72165554-72168159 (+) // 25.71 // q13.2,chr5q13.2,transportin 1,1,1
1557289_s_at,GTF2IRD2 /// GTF2IRD2B,Hs.642394 /// Hs.647017 /// Hs.647039 /// Hs.650847 /// Hs.720918,ENSG00000174428 /// ENSG00000196275 /// OTTHUMG00000130353 /// OTTHUMG00000156015,84163 /// 389524,chr7:74236396-74267855 (-) // 65.3 // q11.23,chr7q11.23,GTF2I repeat domain containing 2 /// GTF2I repeat domain containing 2B,1,0
1557293_at,LINC00969,Hs.708999,---,440993,chr3:195425303-195426701 (+) // 17.65 // q29,chr3q29,long intergenic non-protein coding RNA 969,1,0
1557360_at,LRPPRC,Hs.368084 /// Hs.635473,ENSG00000138095 /// OTTHUMG00000152782,10128,chr2:44123382-44126091 (-) // 93.1 // p21,chr2p21,leucine-rich pentatricopeptide repeat containing,1,0
1557409_at,SPG7,Hs.662735,---,---,chr16:89585799-89588192 (+) // 50.12 // q24.3,---,---,1,0
1557436_at,XKR6,Hs.618046 /// Hs.666146,ENSG00000171044 /// OTTHUMG00000129351,286046,chr8:11051944-11058848 (-) // 89.23 // p23.1,chr8p23.1,"XK, Kell blood group complex subunit-related family, member 6",1,0
1557512_at,CLIP1,Hs.680881,---,---,chr12:122824621-122825202 (-) // 50.94 // q24.31,---,---,1,0
1557519_at,CDC42SE2,Hs.621497,---,---,chr5:130700967-130701356 (-) // 85.33 // q31.1,---,---,1,0
1557527_at,Runx1,Hs.675708,---,---,chr21:36195757-36198497 (-) // 65.16 // q22.12,---,---,1,0
1557529_at,HECTD4,Hs.530943 /// Hs.728432 /// Hs.731778,ENSG00000173064 /// OTTHUMG00000150719,283450,chr12:112687360-112711575 (-) // 93.89 // q24.13,chr12q24.13,HECT domain containing E3 ubiquitin protein ligase 4,1,0
1557538_at,Med13l,Hs.671035,---,---,chr12:116603092-116605075 (-) // 33.92 // q24.21,---,---,1,0
1557551_at,Cyth1,Hs.665810,---,---,chr17:76753088-76755640 (-) // 36.07 // q25.3,---,---,1,0
1557562_at,Gripap1,Hs.733675,---,---,chrX:48850650-48852676 (-) // 31.67 // p11.23,---,---,1,0
1557580_at,CABIN1,Hs.683180,---,---,chr22:24488300-24489535 (+) // 62.87 // q11.23,---,---,1,1
1557581_x_at,CABIN1,Hs.683180,---,---,chr22:24488300-24489535 (+) // 62.87 // q11.23,---,---,1,0
1557626_at,---,Hs.678911,---,---,chr11:75048927-75051058 (-) // 61.45 // q13.4,---,---,1,0
1557737_s_at,NKTR,Hs.529509 /// Hs.715111,ENSG00000114857 /// OTTHUMG00000133037,4820,chr3:42642146-42644520 (+) // 54.55 // p22.1,chr3p23-p21,natural killer-tumor recognition sequence,1,0
1557828_a_at,C5orf28,Hs.732093,---,64417,chr5:43481227-43483941 (-) // 70.89 // p12,chr5p12,chromosome 5 open reading frame 28,1,0
1557910_at,HSP90AB1,Hs.509736 /// Hs.608245,ENSG00000096384 /// OTTHUMG00000014761,3326,chr6:44214831-44218069 (+) // 89.77 // p21.1,chr6p12,"heat shock protein 90kDa alpha (cytosolic), class B member 1",1,0
1557987_at,LOC641298,Hs.623973,---,---,chr16:21452848-21454430 (-) // 29.06 // p12.2,---,---,1,0
1557996_at,AC004951.6 /// OTTHUMG00000155268,---,ENSG00000228434 /// OTTHUMG00000155268,---,chr7:44043644-44047655 (-) // 58.7 // p13,---,NULL /// NULL,1,1
1558078_at,---,Hs.720747,---,---,chr7:102188361-102191012 (-) // 66.24 // q22.1 /// chr7:102287455-102290105 (-) // 65.91 // q22.1,---,---,1,0
1558093_s_at,MATR3 /// SNHG4,Hs.268939 /// Hs.595110 /// Hs.602545 /// Hs.713973,ENSG00000015479 /// OTTHUMG00000129229,9782 /// 724102,chr5:138611809-138657676 (+) // 89.03 // q31.2,chr5q31.2,matrin 3 /// small nucleolar RNA host gene 4 (non-protein coding),1,1
1558105_a_at,SLC9A7,Hs.91389,---,84679,chrX:46458902-46461896 (-) // 99.29 // p11.23,chrXp11.3|Xp11.3,"solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7",1,0
1558111_at,MBNL1,Hs.201858 /// Hs.624516 /// Hs.708662,ENSG00000152601 /// OTTHUMG00000159163,4154,chr3:152016770-152020220 (+) // 96.11 // q25.1,chr3q25,muscleblind-like splicing regulator 1,1,0
1558220_at,MUC20,Hs.732717,---,---,chr3:195415661-195417908 (+) // 53.32 // q29 /// chr3:195684453-195686699 (-) // 43.84 // q29,---,---,1,0
1558279_a_at,KDSR,Hs.595801 /// Hs.74050,ENSG00000119537 /// OTTHUMG00000132792,2531,chr18:60995603-60997750 (-) // 63.87 // q21.33,chr18q21.3,3-ketodihydrosphingosine reductase,1,1
1558404_at,LINC00622,Hs.515383 /// Hs.537892 /// Hs.691538,ENSG00000260941 /// OTTHUMG00000176048,644242,chr1:120140774-120141914 (-) // 27.52 // p12,chr1p12,long intergenic non-protein coding RNA 622,1,0
1558418_at,PIAS1,Hs.661377,---,---,chr15:68446830-68448912 (+) // 69.67 // q23,---,---,1,0
1558515_at,FTX,Hs.349570,ENSG00000230590 /// OTTHUMG00000021850,100302692,chrX:73498384-73512435 (-) // 64.29 // q13.2,chrXq13.2,"FTX transcript, XIST regulator (non-protein coding)",1,0
1558569_at,LOC100131541,Hs.661972,---,100131541,chr11:95989054-95992285 (-) // 71.87 // q21,chr11q21,uncharacterized LOC100131541,1,0
1558579_at,FLJ37786,Hs.631791,---,642691,chr1:148864455-148866630 (+) // 67.81 // q21.2 /// chr2:91909594-91911768 (-) // 68.21 // p11.1,chr1q21,uncharacterized LOC642691,1,1
1558641_at,SPATA24,Hs.373612,ENSG00000170469 /// OTTHUMG00000163388,202051,chr5:138732254-138739777 (-) // 97.13 // q31.2,chr5q31.2,spermatogenesis associated 24,1,0
1558678_s_at,MALAT1,Hs.605347 /// Hs.621695 /// Hs.642877 /// Hs.717401 /// Hs.718983,ENSG00000251562 /// OTTHUMG00000166322,378938,chr11:65269557-65270526 (+) // 72.0 // q13.1,chr11q13.1,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding),1,1
1558691_a_at,DOCK4,---,---,9732,chr7:111820982-111821554 (-) // 29.17 // q31.1,chr7q31.1,dedicator of cytokinesis 4,1,0
1558698_at,ZNF264,Hs.515634,OTTHUMG00000183105,9422,chr19:57730772-57733768 (+) // 45.68 // q13.43,chr19q13.4,zinc finger protein 264,1,0
1558702_at,TEX10,Hs.494648,---,54881,chr9:103063986-103066514 (+) // 79.02 // q31.1,chr9q31.1,testis expressed 10,1,0
1558710_at,ARIH1,Hs.687438,---,---,chr15:72866200-72868846 (+) // 44.69 // q24.1,---,---,1,0
1558719_s_at,RPAIN,Hs.729668,ENSG00000129197 /// OTTHUMG00000177872,84268,chr17:5323504-5692482 (+) // 50.11 // p13.2,chr17p13.2,RPA interacting protein,1,1
1558747_at,SMCHD1,Hs.596122 /// Hs.607245 /// Hs.607656 /// Hs.8118,ENSG00000101596 /// OTTHUMG00000178235,23347,chr18:2655885-2697868 (+) // 99.71 // p11.32,chr18p11.32,structural maintenance of chromosomes flexible hinge domain containing 1,1,1
1558792_x_at,AP2A1,Hs.467125,---,160,chr19:50304803-50307702 (+) // 68.0 // q13.33,chr19q13.33,"adaptor-related protein complex 2, alpha 1 subunit",1,0
1558802_at,TM2D1,Hs.276876,---,---,chr1:62163035-62165517 (-) // 32.43 // p31.3,---,---,1,0
1558922_at,Tia1,Hs.656628,---,---,chr2:70444519-70445543 (-) // 18.65 // p13.3,---,---,1,0
1558971_at,THEMIS,Hs.661756,ENSG00000172673 /// OTTHUMG00000015534,387357,chr6:128029345-128222212 (-) // 98.97 // q22.33,chr6q22.33,thymocyte selection associated,1,0
1559006_at,---,Hs.397001,---,---,chr5:37286537-37287970 (-) // 58.24 // p13.2,---,---,1,0
1559025_at,SEPT9,Hs.440932 /// Hs.625337 /// Hs.738922,ENSG00000184640 /// ENSG00000261843 /// OTTHUMG00000177327,10801,chr17:75471900-75474668 (+) // 49.63 // q25.3,chr17q25,septin 9,1,0
1559039_at,DHX36,Hs.446270 /// Hs.599620,ENSG00000174953 /// OTTHUMG00000159109,170506,chr3:153996283-153998653 (-) // 69.39 // q25.2,chr3q25.2,DEAH (Asp-Glu-Ala-His) box polypeptide 36,1,1
1559045_at,LOC100128288,Hs.549913,ENSG00000198150,100128288,chr17:7562768-8263829 (-) // 52.24 // p13.1,chr17p13.1,uncharacterized LOC100128288,1,0
1559139_at,NOC2L,Hs.405987,ENSG00000188976 /// OTTHUMG00000040720,26155,chr1:893680-894636 (-) // 36.66 // p36.33,chr1p36.33,nucleolar complex associated 2 homolog (S. cerevisiae),1,0
1559161_at,PDCL,Hs.671802,---,---,chr20:31073096-31074846 (+) // 58.59 // q11.21,---,---,1,0
1559201_a_at,ostf1,Hs.720502,---,---,chr9:77762606-77764347 (+) // 83.4 // q21.13,---,---,1,0
1559289_at,TADA1,Hs.435967,---,117143,chr1:166832950-166835169 (+) // 44.86 // q24.1,chr1q24.1,transcriptional adaptor 1,1,0
1559362_at,SIK3,Hs.656873,---,---,chr11:116941485-116942325 (-) // 17.07 // q23.3,---,---,1,0
1559437_at,---,Hs.655303,---,---,chr7:102023051-102025533 (+) // 30.31 // q22.1,---,---,1,0
1559449_a_at,LOC100996381,Hs.434406,ENSG00000268362 /// OTTHUMG00000183392,100996381,chr19:24247134-24249098 (+) // 12.08 // p12,---,uncharacterized LOC100996381,1,0
1559455_at,---,Hs.744586,---,---,---,---,---,1,0
1559490_at,LRCH3,Hs.518414,ENSG00000186001 /// OTTHUMG00000155378,84859,chr3:197557327-197560252 (+) // 62.27 // q29,chr3q29,leucine-rich repeats and calponin homology (CH) domain containing 3,1,0
1559580_at,LRRC39,Hs.44277,ENSG00000122477 /// OTTHUMG00000010839,127495,chr1:100641184-100643806 (-) // 46.47 // p21.2,chr1p21.2,leucine rich repeat containing 39,1,0
1559731_x_at,MACROD1,---,ENSG00000133315 /// OTTHUMG00000167843,28992,chr11:63914723-63917474 (-) // 68.34 // q13.1,chr11q11,MACRO domain containing 1,1,0
1559762_at,---,---,---,---,chr16:75083966-75085609 (+) // 4.91 // q23.1,---,---,1,0
1559776_at,gm2a,Hs.595177,---,---,---,---,---,1,0
1559822_s_at,MTDH,Hs.377155 /// Hs.602348 /// Hs.604038 /// Hs.617671,ENSG00000147649 /// OTTHUMG00000164692,92140,chr10:98725990-99185803 (-) // 29.16 // q24.1,chr8q22.1,metadherin,1,0
1559848_at,NSUN4,---,---,387338,chr1:46810615-46811822 (+) // 43.91 // p33,chr1p34,"NOP2/Sun domain family, member 4",1,0
1559910_at,PID1,Hs.655648,---,---,chr2:230125555-230126314 (-) // 44.25 // q36.3,---,---,1,0
1559932_at,---,Hs.684681,---,---,chr15:72629093-72635786 (-) // 22.5 // q23,---,---,1,0
1559954_s_at,DDX42,Hs.627787 /// Hs.690897 /// Hs.692427 /// Hs.702010,ENSG00000198231 /// OTTHUMG00000179011,11325,chr17:61887622-61888628 (+) // 73.59 // q23.3,chr17q23.3,DEAD (Asp-Glu-Ala-Asp) box helicase 42,1,0
1559987_at,MSI2,Hs.685314,---,---,chr17:55562312-55566020 (+) // 70.85 // q22,---,---,1,1
1560013_at,LOC101060433 /// PDXDC1,Hs.370781,ENSG00000179889 /// OTTHUMG00000166304,23042 /// 101060433,chr16:15119080-15126510 (+) // 80.99 // p13.11,chr16p13.11,pyridoxal-dependent decarboxylase domain-containing protein 1-like /// pyridoxal-dependent decarboxylase domain containing 1,1,1
1560014_s_at,LOC101060433 /// PDXDC1,Hs.370781,ENSG00000179889 /// OTTHUMG00000166304,23042 /// 101060433,chr16:15119080-15126510 (+) // 80.99 // p13.11,chr16p13.11,pyridoxal-dependent decarboxylase domain-containing protein 1-like /// pyridoxal-dependent decarboxylase domain containing 1,1,0
1560048_at,---,Hs.351426,---,---,chr1:118383783-118384481 (-) // 16.22 // p12,---,---,1,0
1560112_at,WDFY2,Hs.208550,---,115825,chr13:52163506-52166730 (+) // 74.65 // q14.3,chr13q14.3,WD repeat and FYVE domain containing 2,1,0
1560142_at,GRIK2,Hs.605579 /// Hs.98262,ENSG00000164418 /// OTTHUMG00000016328,2898,chr6:101847153-102516264 (+) // 98.63 // q16.3,chr6q16.3,"glutamate receptor, ionotropic, kainate 2",1,0
1560144_at,---,Hs.616780,---,---,chr9:42187431-42191546 (+) // 59.22 // p12 /// chr9:70582191-70586310 (+) // 59.22 // q21.11,---,---,1,1
1560172_at,INTS10,Hs.512627,---,55174,chr8:19678424-19682003 (+) // 56.07 // p21.3,chr8p21.3,integrator complex subunit 10,1,0
1560177_at,CCDC66,Hs.476399,---,285331,chr3:56592872-56605012 (+) // 53.08 // p14.3,chr3p14.3,coiled-coil domain containing 66,1,0
1560209_at,---,Hs.324359,---,---,chr5:80592454-80594456 (-) // 71.71 // q14.1,---,---,1,0
